"manufacturer","model","year","price","odometer","condition","type","size","paint_color","fuel","transmission","cylinders"
"ford","transit t350 xlt",2018,22600,48000,"excellent","van","full-size","white","gas","automatic","6 cylinders"
"hyundai","elantra",2015,7950,97295,"like new","sedan","mid-size","custom","gas","automatic","4 cylinders"
"chevrolet","silverado 1500",2001,5500,202850,"good","pickup","full-size","orange","gas","automatic","8 cylinders"
"dodge","grand caravan passenger",2018,16590,47936,"good","van",NA,"white","other","other","6 cylinders"
"ram","1500",2004,6495,115632,NA,NA,NA,NA,"gas","automatic",NA
"toyota","tacoma",2017,28000,47481,"like new","truck",NA,"grey","gas","automatic","6 cylinders"
"bmw","3 series",2011,6902,130197,NA,"sedan","compact","custom","gas","automatic","6 cylinders"
"audi","a4",2014,15998,68975,"excellent","sedan",NA,"blue","gas","automatic",NA
"ford","mustang",1994,6500,172000,"excellent","coupe",NA,"black","gas","manual","8 cylinders"
"chrysler","town & country touring",2012,7995,121000,"excellent",NA,NA,NA,"gas","automatic","6 cylinders"
"buick","enclave",2020,46280,1381,NA,NA,NA,NA,"gas","automatic",NA
NA,"BENTLEY ARNAGE",2002,28995,82849,NA,"sedan",NA,"black","gas","automatic",NA
"toyota","tundra",2014,35998,69497,NA,"truck",NA,NA,"gas","automatic","8 cylinders"
"acura","tl",2016,11995,97234,"excellent","sedan","mid-size","silver","gas","automatic","6 cylinders"
"mercury","mountaineer",2000,3000,172000,"fair","SUV","mid-size","blue","gas","automatic","6 cylinders"
"chevrolet","tahoe 4x4",2012,12950,113048,NA,"SUV",NA,"silver","gas","automatic","8 cylinders"
"chevrolet","suburban",2015,36995,78430,NA,"SUV",NA,"black","other","automatic","8 cylinders"
"ram","1500",2017,26995,35355,NA,NA,NA,NA,"gas","automatic",NA
"honda","cr-v",2006,5999,163017,"excellent",NA,NA,"white","gas","automatic","4 cylinders"
"honda","cr-v ex-l awd",2012,13000,95000,"excellent","SUV","mid-size","white","gas","automatic","4 cylinders"
"kia","sorento",2015,0,72000,NA,"SUV",NA,"purple","gas","automatic",NA
"toyota","highlander",2012,16995,132511,NA,"SUV",NA,"silver","gas","automatic","6 cylinders"
"toyota","corolla type s",2016,0,32000,"excellent","sedan",NA,"red","gas","automatic","4 cylinders"
"chevrolet","trailblazer",2005,3999,135000,"excellent","SUV",NA,"grey","gas","automatic",NA
"volkswagen","jetta",2013,7500,87212,"excellent","sedan","mid-size","silver","gas","automatic","5 cylinders"
"ford","taurus",2003,3999,160000,"good",NA,NA,NA,"gas","automatic",NA
"chevrolet","trailblazer",2004,2999,172220,NA,"SUV",NA,"grey","gas","automatic","6 cylinders"
"cadillac","escalade luxury awd su",2012,0,109976,NA,"SUV",NA,NA,"gas","automatic","8 cylinders"
"chevrolet","equinox",2010,8995,128176,"excellent","SUV","full-size","white","gas","automatic","6 cylinders"
"infiniti","g37",2013,11700,64000,"excellent","sedan","mid-size","white","gas","automatic","6 cylinders"
"volvo","xc60",2013,12495,115930,"excellent","SUV",NA,"white","gas","automatic",NA
"pontiac","grand prix gtp",2004,1500,200000,NA,"sedan",NA,"white","gas","automatic","6 cylinders"
"ford","f250sd xlt",2015,36950,100321,"excellent","pickup","full-size","grey","diesel","automatic","8 cylinders"
"lexus","rx 350",2012,18598,92438,NA,NA,NA,NA,"gas","automatic",NA
"chrysler","town and country",2010,7990,112313,NA,"mini-van",NA,"blue","gas","automatic",NA
"ram","2500",2014,29999,116,NA,NA,NA,NA,"diesel","automatic",NA
"nissan","versa",2016,7900,33617,NA,"sedan",NA,NA,"other","manual",NA
"chevrolet","silverado",2002,9000,181000,"good","truck","full-size","black","diesel","automatic","8 cylinders"
"ford","f150 regular cab",2000,6999,156851,NA,"pickup",NA,"red","gas","manual","8 cylinders"
"ford","fiesta se",2018,9500,18190,"excellent","sedan","mid-size","silver","gas","automatic","4 cylinders"
"ford","freestyle",2007,3500,110858,NA,NA,NA,"white","gas","automatic",NA
"ford","explorer xlt 4x4 gas suv",2017,31999,35140,NA,"SUV",NA,"black","gas","automatic",NA
"kia","optima lx 4dr sedan",2015,12995,32459,"good",NA,NA,"purple","gas","automatic","4 cylinders"
"ford","fusion",2010,5500,187000,"excellent",NA,NA,"grey","gas","automatic","4 cylinders"
"gmc","lifted sierra diesel durmax",2020,69999,11679,NA,"truck",NA,"black","diesel","automatic",NA
"ford","mustang gt",2004,6000,85841,"good","coupe","mid-size","orange","gas","manual","8 cylinders"
"ford","f/15o step-side fx-4",2005,7950,169221,"excellent","pickup","full-size","black","gas","automatic","8 cylinders"
"ford","mustang",2019,25950,29766,NA,NA,NA,"black","gas","automatic",NA
"nissan","versa",2019,13361,34832,NA,"other",NA,"white","gas","automatic",NA
"jaguar","xjs",1993,5000,150000,"good","convertible","full-size","blue","gas","automatic","6 cylinders"
"volkswagen","passat",2013,9995,95374,NA,"sedan",NA,"black","diesel","automatic",NA
"infiniti","g25x",2011,9000,112000,"excellent","sedan",NA,"grey","gas","automatic","6 cylinders"
"ford","f-150",2018,28995,123117,NA,"truck",NA,"black","gas","automatic","8 cylinders"
"jeep","grand cherokee limited",2015,22590,57223,"good","SUV",NA,"white","gas","other","6 cylinders"
"mazda","5",2012,6788,124573,"excellent",NA,NA,"silver","gas","automatic",NA
"chevrolet","impala ls",2008,3800,180000,"good",NA,NA,"grey","gas","automatic",NA
"honda","element",2003,6500,130000,NA,NA,NA,NA,"gas","manual",NA
"toyota","sienna xle",2005,17900,78934,NA,NA,NA,NA,"gas","automatic",NA
"chevrolet","cruze eco",2012,6000,166690,"good",NA,NA,"red","gas","automatic","4 cylinders"
"jeep","wrangler",2018,36000,21600,"excellent","SUV",NA,"black","gas","automatic","4 cylinders"
"dodge","grand caravan",2019,20000,32639,NA,"mini-van",NA,"white","gas","automatic",NA
"nissan","versa",2018,10750,42703,NA,"sedan","compact",NA,"gas","automatic",NA
"gmc","sierra 1500",2020,58792,18088,NA,"truck",NA,"white","gas","automatic","8 cylinders"
"nissan","pathfinder le",2012,9500,165088,"good","SUV","full-size","silver","gas","automatic","6 cylinders"
"infiniti","qx60 fwd",2017,26995,18659,NA,"other",NA,"blue","gas","automatic",NA
NA,"INTERNATIONAL MH035",2009,44995,82238,NA,"truck",NA,NA,"diesel","manual",NA
"dodge","grand caravan",1999,4200,180000,"good","van","full-size","brown","gas","automatic","8 cylinders"
"jeep","compass",2015,12995,71478,NA,"SUV",NA,"black","gas","automatic","4 cylinders"
"ford","explorer",2015,7900,127000,NA,NA,NA,NA,"gas","automatic",NA
"chrysler","pt cruiser",2009,4595,64950,"like new","wagon","mid-size","blue","gas","automatic","4 cylinders"
NA,"Scion xB",2008,4797,163770,NA,"wagon",NA,"yellow","gas","automatic","4 cylinders"
"jeep","grand cherokee",2003,3500,188727,NA,"SUV",NA,"red","gas","automatic","8 cylinders"
"hyundai","tucson",2018,16985,23140,NA,"SUV","mid-size","custom","gas","automatic","4 cylinders"
"jeep","grand cherokee",2004,2488,233045,NA,"other",NA,"silver","gas","automatic",NA
"ford","mustang ecoboost",2016,0,33076,"good","coupe",NA,NA,"gas","manual",NA
"nissan","sentra",2019,17995,27422,"excellent","sedan",NA,NA,"gas","automatic","4 cylinders"
"jeep","liberty",2012,8995,122597,NA,NA,NA,NA,"gas","automatic",NA
"audi","q5 premium plus",2015,0,101742,"good","hatchback",NA,"white","gas","automatic",NA
"mazda","cx-9",2015,15000,82288,NA,"SUV",NA,"custom","gas","automatic","6 cylinders"
"jeep","renegade latitude sport",2019,21990,6846,"good","other",NA,"white","gas","other",NA
"ford","e-450",2002,14995,141929,NA,"other",NA,"white","diesel","automatic",NA
"jeep","compass",2019,0,41465,NA,NA,NA,NA,"gas","automatic",NA
"ford","f350 super duty crew c",2015,0,145822,NA,NA,NA,NA,"diesel","automatic",NA
"mercedes-benz","e-class",2017,34985,12260,"excellent","sedan",NA,"white","gas","automatic",NA
"chrysler","300",2011,9995,137000,"excellent","sedan","mid-size","white","gas","automatic","6 cylinders"
"toyota","solara sle",2005,5995,142000,"like new","convertible","mid-size","black","gas","automatic","6 cylinders"
"nissan","altima",2014,0,94347,"good","sedan",NA,"brown","gas","automatic","4 cylinders"
"cadillac","escalade",2017,49999,43987,NA,"SUV",NA,"white","gas","automatic",NA
"toyota","rav4 xle sport utility 4d",2017,20590,45654,"good","other",NA,"green","other","other",NA
"hyundai","azera limited 4dr sedan",2008,5995,123000,"like new","sedan","full-size","red","gas","automatic","6 cylinders"
"mercedes-benz","g550",2015,64900,70000,"excellent","SUV","full-size","black","gas","automatic","8 cylinders"
"honda","cr-v",2005,4999,187434,NA,"SUV",NA,"black","gas","automatic",NA
"dodge","grand caravan sxt",2019,39900,27500,"like new",NA,NA,"white","gas","automatic","6 cylinders"
"chevrolet","malibu lt",2019,18599,34812,NA,"sedan",NA,"white","gas","automatic","4 cylinders"
"ford","ranger",1998,4750,127499,"excellent","truck","mid-size","white","gas","automatic","6 cylinders"
"gmc","sierra 1500",2014,22904,112335,NA,"pickup","full-size","black","gas","automatic","8 cylinders"
"hyundai","elantra gt",2019,15925,37294,"good","hatchback",NA,"silver","gas","automatic","4 cylinders"
"toyota","prius",2011,8759,138507,NA,"hatchback",NA,"white","hybrid","automatic",NA
"subaru","impreza",2008,4995,143,"like new",NA,NA,NA,"gas","automatic",NA
"mazda","mazda3",2008,6999,148422,NA,"hatchback",NA,"blue","other","manual",NA
"gmc","sierra",2015,29337,40612,NA,"pickup",NA,"silver","gas","automatic",NA
"kia","forte koup sx coupe 2d",2016,14990,28887,"good","coupe",NA,"black","gas","automatic",NA
NA,"hyndai elantra",2010,3200,213465,"good",NA,NA,"grey","gas","automatic",NA
"gmc","sierra 2500 hd 4x4",2009,11995,158341,NA,NA,NA,"blue","gas","automatic",NA
"ford","fiesta s hatchback",2016,6997,92022,"good","hatchback",NA,"silver","gas","automatic","4 cylinders"
"gmc","savana",2009,12000,83000,"good","van","full-size","blue","diesel","automatic","8 cylinders"
"mercedes-benz","cl550",2007,22500,44550,"excellent","coupe",NA,NA,"gas","automatic","8 cylinders"
"honda","accord",2012,11000,121368,"like new","sedan","full-size","grey","gas","automatic","6 cylinders"
"ford","f-150",1994,1000,212000,"fair",NA,NA,"green","gas","manual","6 cylinders"
"gmc","sierra 1500",2011,12990,180000,"excellent","pickup",NA,"white","gas","automatic","8 cylinders"
"ford","transit t350",2015,24995,94643,"excellent","van","full-size","white","gas","automatic","6 cylinders"
"nissan","rogue",2017,0,28612,NA,NA,NA,NA,"gas","other",NA
"chevrolet","silverado 1500",2012,18500,142879,"excellent","pickup","full-size","white","gas","automatic","8 cylinders"
"nissan","altima",2009,5400,136256,NA,"sedan",NA,"blue","gas","other","4 cylinders"
"mercedes-benz","sprinter 2500",2015,79900,42000,"like new","van",NA,"silver","diesel","automatic",NA
"jeep","wrangler unlimited",2012,24995,115463,"good","SUV","full-size","red","gas","automatic","6 cylinders"
"saturn",NA,2000,2400,110,NA,NA,NA,NA,"gas","automatic",NA
"chevrolet","corvette",1969,39997,68100,NA,"convertible",NA,"custom","gas","automatic",NA
NA,"Model T",1924,14975,75000,"excellent","other","mid-size","black","gas","manual","8 cylinders"
NA,"international 4300",2017,43950,130679,"excellent","truck",NA,"white","diesel","automatic",NA
"chevrolet","volt",2017,16303,35926,NA,NA,NA,NA,"gas","automatic",NA
"toyota","venza",2011,0,93976,"excellent","wagon",NA,NA,"gas","automatic",NA
"audi","a8 quattro",2011,14995,113076,NA,NA,NA,NA,"gas","automatic",NA
"chevrolet","express 3500 van",2006,8500,217,"good","truck",NA,"white","diesel","automatic","8 cylinders"
"ford","edge",2016,13457,92322,NA,"SUV","mid-size","silver","gas","automatic","4 cylinders"
"bmw","328i",2015,0,64927,NA,"sedan","compact","black","gas","automatic",NA
"chevrolet","express passenger",2019,23950,37684,NA,"van","full-size","white","gas","automatic","8 cylinders"
"kia","sedona ex minivan",2014,7995,100000,"excellent",NA,NA,"red","gas","automatic","6 cylinders"
"chevrolet","equinox",2008,7950,122479,NA,"SUV",NA,"blue","gas","automatic","6 cylinders"
"chevrolet","cruze",2012,7997,121679,"excellent","sedan",NA,"black","gas","automatic","4 cylinders"
"gmc","sierra",2000,1000,215000,NA,"pickup","full-size","black","gas","automatic","8 cylinders"
"ford","f-250 super duty lariat",2016,46985,76342,"good","pickup","full-size","red","diesel","automatic","8 cylinders"
"toyota","prius",2014,10995,130286,NA,"hatchback","mid-size","silver","hybrid","automatic","4 cylinders"
"gmc","sierra 2500hd available wifi",2015,40987,38951,"good","pickup",NA,"white","other","other",NA
"jeep","wrangler unlimited sahara",2007,14800,131000,"excellent","SUV",NA,"black","gas","manual","6 cylinders"
"ford","f150 supercrew cab",2011,22995,144865,NA,"pickup",NA,"white","other","automatic","8 cylinders"
"volkswagen","gti autobahn",2012,13900,81000,NA,NA,NA,NA,"gas","manual",NA
"dodge","dakota slt",2006,6938,133,"excellent","truck","mid-size","grey","gas","automatic","8 cylinders"
"volkswagen","jetta 2.0t gli",2013,14590,66504,"good","sedan",NA,"red","gas","automatic",NA
"dodge","i",2015,0,0,NA,"other",NA,"white","diesel","other",NA
"lincoln","town car",1983,2700,137000,"good",NA,NA,"white","gas","automatic",NA
"buick","encore",2019,19912,12587,NA,"SUV","compact","red","gas","automatic","4 cylinders"
"ford","ranger",2011,16995,61568,"excellent","pickup","mid-size","white","gas","automatic","6 cylinders"
NA,"-",2010,1,0,"excellent",NA,NA,NA,"gas","automatic","6 cylinders"
"honda","fit",2011,4999,136000,NA,NA,NA,NA,"gas","automatic",NA
"ford","mustang deluxe",2004,9499,91932,"excellent","convertible",NA,NA,"gas","automatic","6 cylinders"
"dodge","avenger r/t",2009,3250,165000,"fair","sedan","mid-size","red","gas","automatic","6 cylinders"
"chevrolet","corvette",1962,58750,26138,NA,"other",NA,"red","gas","automatic",NA
"chevrolet","express 1500 cargo van",2014,14995,103000,"excellent","van","full-size","white","gas","automatic","8 cylinders"
"lexus","rx 450h",2011,10800,142706,NA,NA,NA,NA,"gas","automatic",NA
"chevrolet","colorado",2015,0,54813,"excellent","pickup",NA,NA,"gas","automatic",NA
"chevrolet","camaro",1984,3200,235880,"good","coupe",NA,"black","gas","automatic",NA
"ram","1500",2017,40998,24766,NA,"truck",NA,NA,"gas","automatic","8 cylinders"
"honda","civic ex-t sedan 4d",2016,17990,44562,"good","sedan",NA,NA,"gas","automatic",NA
"gmc","sierra 2500hd",2016,29850,50808,"excellent","pickup","full-size","white","gas","automatic","8 cylinders"
"ford","f250 super duty crew cab",2015,29995,117969,NA,"pickup",NA,"black","other","automatic","8 cylinders"
"gmc","yukon xl",2011,15495,158477,NA,NA,NA,"black","gas","automatic","8 cylinders"
"hyundai","sonata",2017,0,88822,NA,"sedan","full-size","silver","gas","automatic",NA
"ford","taurus police interceptor",2014,6990,125205,"excellent","sedan","full-size","silver","gas","automatic","6 cylinders"
"chevrolet","express",2012,11950,146000,"excellent","van","full-size","white","gas","automatic","8 cylinders"
"toyota","camry",2009,4450,196412,"good",NA,NA,"red","gas","automatic",NA
"ford","f-150",2015,27500,135741,"excellent",NA,NA,"silver","gas","automatic","8 cylinders"
"subaru","outback premium awd",2017,16498,92697,"good","wagon","full-size","black","gas","automatic","4 cylinders"
"honda","civic",2018,14999,43704,NA,"sedan",NA,NA,"gas","automatic","4 cylinders"
"jeep","grand cherokee",2015,15995,99362,NA,"SUV",NA,"black","gas","automatic",NA
"chevrolet","camaro",2012,13999,78313,"excellent","coupe",NA,NA,"gas","automatic","6 cylinders"
"chevrolet","tahoe z71",2005,8500,110000,"excellent","SUV",NA,"black","gas","automatic","8 cylinders"
NA,"Scion tC",2013,9998,104730,"good","hatchback",NA,"black","gas","other","4 cylinders"
"jeep","patriot latitude 4x4",2014,9999,34000,"excellent",NA,"full-size","silver","gas","automatic","4 cylinders"
"ford","f-250",2008,19500,220000,"good","truck","full-size","white","diesel","automatic","8 cylinders"
"dodge","magnum",2005,0,107134,"excellent","wagon",NA,"silver","gas","automatic",NA
"chevrolet","cruze lt sedan 4d",2017,14990,25300,"good","sedan",NA,NA,"gas","other",NA
"mercedes-benz","glc300 4matic",2018,41000,21067,"like new","SUV",NA,"black","gas","automatic",NA
"fiat","500e",2014,7500,40000,NA,NA,NA,NA,"electric","automatic","other"
"mini","hardtop",2006,4000,144058,NA,"coupe",NA,"grey","gas","automatic","4 cylinders"
NA,"porsche boxter",1998,10900,85000,"excellent","convertible",NA,"red","gas","automatic","6 cylinders"
"ford","econoline commercial cutaway",2008,9995,232600,"good",NA,"full-size","white","gas","automatic","10 cylinders"
"ford","edge",2011,7965,166000,NA,"SUV",NA,NA,"gas","automatic",NA
"ford","mustang gt premium",2006,13999,65961,NA,"coupe",NA,"blue","gas","automatic","8 cylinders"
"ford","f-150",1992,16500,37000,"like new","pickup","full-size",NA,"gas","automatic","8 cylinders"
"subaru","outback limited",2019,27400,14623,NA,"wagon",NA,"silver","gas",NA,NA
"cadillac","srx",2011,6250,157909,"excellent",NA,NA,"silver","gas","automatic","6 cylinders"
"ram","pickup 2500",2005,16495,105000,NA,"pickup","full-size","brown","diesel","automatic","6 cylinders"
"ford","transit connect cargo",2015,0,78421,NA,"van","compact","white","gas","automatic","4 cylinders"
"jeep","compass",2011,7950,0,"good","other",NA,"white","gas","automatic","4 cylinders"
"ford","explorer",2013,9495,160626,NA,NA,NA,NA,"gas","automatic",NA
"volvo","xc90t6 momentum awd",2017,32950,68544,"like new","SUV",NA,"grey","gas","automatic","4 cylinders"
"gmc","sierra 1500 crew cab",2009,14495,187886,NA,"pickup",NA,"black","other","automatic","8 cylinders"
"ram","2500",2019,50995,33786,NA,"truck",NA,"white","diesel","automatic","6 cylinders"
"ram","1500 sport",2017,443,40966,"good","pickup",NA,NA,"gas","automatic","8 cylinders"
"volkswagen","golf",2013,12775,99423,"excellent","hatchback","compact","grey","diesel","manual","4 cylinders"
"jeep","grand cherokee",2015,17495,119800,"excellent","SUV",NA,"black","gas","automatic","6 cylinders"
"ford","f-150",2019,0,6,NA,"pickup","full-size","white","gas","automatic",NA
"chevrolet","traverse",2015,16500,63000,"like new","SUV","mid-size","white","gas","automatic","6 cylinders"
"jeep","grand cherokee",2015,21000,80800,"excellent","SUV",NA,"blue","gas","automatic","6 cylinders"
"ford","f-250",2008,17999,157020,NA,"pickup",NA,NA,"diesel","automatic",NA
"dodge","charger",2011,13995,102336,"excellent","sedan","full-size","black","gas","automatic","8 cylinders"
"gmc","sierra",2003,9500,214000,"excellent","truck","full-size","grey","gas","automatic","8 cylinders"
"mercedes-benz","e 350 sport sedan",2009,0,124163,"like new","sedan","mid-size","white","gas","automatic","6 cylinders"
"dodge","challenger",2014,0,99480,NA,"coupe","compact","blue","gas","automatic","6 cylinders"
"gmc","acadia",2008,7990,142460,NA,"SUV",NA,"red","gas","automatic","6 cylinders"
